region,HUMANITARIAN,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BRA,,214706.391268191,,1265771.61885328,20662528.7911171,32807389.8483633,36604097.6740121,19740009.6566712,963918.477635137,408431.525478363,,,,
BRA,No,,49058.04,13581600.7294461,10543928.5522389,16252860.501618,23404754.5059349,23996981.3224436,11492907.6025432,12129354.3969252,9654170.832714,5751200,,
BRA,Yes,,,14375379.7585506,81959754.2792563,37703264.4716246,109003160.074024,90407752.8745749,148148.148148148,148148.148148148,222222.222222222,148148.148148148,,
FGS,,,53932.5842696629,11644136.4397466,77321883.7570672,106470270.136888,105833060.558498,104999227.848535,27280927.716934,8064430.46334157,3525297.352,2708589.852,2708589.8538,
FGS,No,,14673678.56,53532426.5314313,62209334.9894436,94590678.6519656,96644584.7978624,209722302.401793,29273256.125805,18846816.7159301,9642805.65871911,1008918,,
FGS,Yes,,,1248000,4669939.2,9438958.0385,16757196.4010789,202031432.812653,6090325.7579536,5432731.3312963,3682185.29444444,296296.296296296,,
Galmudug,,214706.391268191,,4700330.2811354,17216635.9404625,20282164.2230511,27533584.5182246,17122062.1702162,5446073.02596939,5016015.62593166,4570784.1004533,3476031.71246512,3476031.71426512,383720.930232558
Galmudug,No,,130778.04,3454497.54924352,7536721.42328088,9382825.01360125,15904106.2423895,22594027.1951699,13087448.6328131,6675209.63194693,5810731.85916595,1632492,,
Galmudug,Yes,,,9426346.54705882,63455688.71,28451107.7448599,34726347.3060509,43517517.3238023,1454243.01171155,511308.862433863,222222.222222222,148148.148148148,,
Hiirshabelle,,214706.391268191,,3135798.79815138,15609252.2133646,23056571.432767,32489118.2916944,22576192.874393,7062310.03846885,5317274.15741846,4599853.86789516,3499287.5264186,3499287.5282186,395348.837209302
Hiirshabelle,No,,130778.04,4686642.30644307,7242222.70762267,17566753.6671838,17095983.6114071,28814109.8814759,17567002.3641244,9630181.50929481,7816910.05663163,3322854,,
Hiirshabelle,Yes,,,9387014.3,51375587.79,21322079.8616247,45592710.4268563,58965551.3606186,2491150.22295152,2046842.31314815,222222.222222222,148148.148148148,,
Jubaland,,214706.391268191,,6619385.71110165,33255855.4861096,52400722.7289256,63657576.6123064,40280980.5584503,14522098.6802218,9705429.80476269,4923119.62259893,3130279.00722703,2708589.8538,
Jubaland,No,,232624.32,9606204.97991209,13263901.3689314,21631725.4617366,36151640.8137869,43597288.8245143,20618552.9447365,13254130.1106351,10070659.8671385,5027674,,
Jubaland,Yes,,,14356.2,74276738.507326,35988624.1291978,72730316.096317,69461957.0019481,923063.972951519,812389.813148148,222222.222222222,148148.148148148,,
Puntland,,214706.391268191,107865.168539326,10026296.3005682,32694885.8126197,50487430.7381036,49093599.2408203,30884925.6570244,6964756.99371776,6980669.80434776,4285505.78169641,3692531.21419641,2708589.8538,
Puntland,No,,1102364.71,15848579.0566941,19595634.0409761,26722171.7374503,40162622.0467455,43822419.3039874,31386832.4295073,15625986.6637029,11408542.7846474,3049752,,
Puntland,Yes,,,4917935.23314607,121383397.227573,57776130.0915532,105187084.928501,108095821.267613,2208051.59704349,148148.148148148,222222.222222222,148148.148148148,,
Somaliland,,214706.391268191,107865.168539326,11858221.591632,49508035.1635326,58600024.948864,65154622.8535346,71024435.4407142,13003692.3903548,7164991.88713252,2506039.2075,1504772.14,1504772.141,
Somaliland,No,,237523.62,17482433.2712763,21834121.2960031,36425194.6790225,51946115.1925886,49321239.7975578,36608423.3567322,18696146.1728709,8011735.582714,1077912,,
Somaliland,Yes,,,44117.6470588235,97679879.5321231,53525658.7030535,106907208.365295,107214307.267508,4180074.88439153,3754479.6362963,444444.444444444,296296.296296296,,
South West,,214706.391268191,33707.8651685393,5932771.13441424,31898964.4697832,51624752.6526748,55053590.6216762,25769561.4320125,7519580.82723699,3506363.2354766,2752142.9409533,767441.860465116,767441.860465116,383720.930232558
South West,No,,130778.04,26668355.8883077,15194481.1638182,28006320.6078081,43857941.2342696,49452862.478631,33682187.4304893,19482868.2114767,15613615.9297399,6392938,,
South West,Yes,,,9391799.7,51876176.2166667,35486701.1598,52895937.0999996,56703522.4949658,945563.972951519,812389.813148148,222222.222222222,148148.148148148,,
UNATTRIBUTED,,15120.1683991684,662921.348314607,2398717.64109148,49752934.7231607,97646260.1954077,117072091.363517,217009383.828341,28438198.5042278,1057360.76504083,1000707,,,
UNATTRIBUTED,No,,40145.63,10159148.8312725,11203439.5830456,33246846.4703664,46463876.1639248,31662593.224167,9383510.95775079,11435746.9986272,7136075.11721225,5545800,,
UNATTRIBUTED,Yes,,,17817469.8190063,16770669.1874015,16494112.8214286,56318966.1516427,90142791.9440651,30368684.3114337,1684210.52631579,631578.947368421,,,
