Country,variable,FALSE_NA,FALSE_DEBT INSTRUMENTS,FALSE_DEBT RELIEF,FALSE_EQUITY AND SHARES IN COLLECTIVE INVESTMENT VEHICLES,FALSE_GRANTS,FALSE_LOAN,FALSE_OTHER SECURITIES/CLAIMS,TRUE_DEBT INSTRUMENTS,TRUE_GRANTS,TRUE_LOAN
Bangladesh,2016-01,147291.8540016,0,0,0,36888028.4190943,0,0,0,0,0
Bangladesh,2016-02,79815.202016,0,0,249218,60114969.2381267,0,0,0,0,0
Bangladesh,2016-03,10500028.7191078,110421168.721406,0,0,83766772.6733397,303305001,0,0,0,0
Bangladesh,2016-04,271627.052832,898583.709474,0,0,24766199.4205561,0,0,0,0,0
Bangladesh,2016-05,25339294.6247612,3481889.955744,0,0,43473559.5095229,0,0,0,0,0
Bangladesh,2016-06,42784023.2990641,270236970.054474,0,127631.25,147868800.652821,353075479,0,0,0,0
Bangladesh,2016-07,413408.517784,383692.912542,0,0,28613370.7051487,0,0,0,0,0
Bangladesh,2016-08,26220.34184,484228.237146,0,0,78015116.0303452,0,0,0,0,0
Bangladesh,2016-09,9525031.02005136,156564459.10986,0,0,90377230.7380709,140845840,0,0,0,0
Bangladesh,2016-10,43540.2044,58253587.979,0,0,30689948.5440038,0,0,0,0,0
Bangladesh,2016-11,150001.12512,48996250.808708,0,0,120179717.561516,0,0,0,0,0
Bangladesh,2016-12,56387275.9924515,230623262.635774,0,0,233625656.439923,215079927,0,0,0,0
Bangladesh,2017-01,152170.921955,19050347.257034,0,0,74244062.0032346,0,0,0,0,0
Bangladesh,2017-02,20745.690926,40866328.15866,0,30000,27114312.4053812,0,0,0,0,0
Bangladesh,2017-03,10224956.365174,36668837.530995,0,0,111014746.035974,380803745,0,0,0,0
Bangladesh,2017-04,47231.9915474,33375457.932563,0,0,28688615.5124882,0,0,0,0,0
Bangladesh,2017-05,55472.644788,72207474.767792,0,0,37060176.9802654,0,0,0,0,0
Bangladesh,2017-06,5932086.85122345,96717054.321103,0,0,159070166.031101,564967186,0,0,0,0
Bangladesh,2017-07,788233.434626,77803603.449145,0,44147.25,27932378.6177194,0,0,0,0,0
Bangladesh,2017-08,37343.809459,22621239.61,0,0,63030911.6639714,0,0,0,0,0
Bangladesh,2017-09,5186921.96789798,56830067.617447,0,0,168623325.602998,161231646,0,0,0,0
Bangladesh,2017-10,25970.41458,58432905.621132,0,0,74840644.2381496,0,0,0,0,0
Bangladesh,2017-11,792226.295139,122010498.051842,0,0,155973275.904245,0,0,0,0,0
Bangladesh,2017-12,246491538.893884,211095687.270348,0,0,414779611.212634,225641612,0,0,0,0
Bangladesh,2018-01,4336720.0654176,72898727.13355,0,0,70499284.2756843,0,0,0,0,0
Bangladesh,2018-02,721513.796191784,41303164.72,0,0,51634917.8851924,0,0,0,0,0
Bangladesh,2018-03,13339093.3578216,74068587.772256,0,53197.25,115446866.902806,407654564,0,0,0,0
Bangladesh,2018-04,22461213.3288608,35817366.217898,0,203862.75,59300830.3153207,0,0,0,0,0
