Country,variable,FALSE_development,FALSE_humanitarian,TRUE_development,TRUE_humanitarian,FALSE_total,TRUE_total,seasonal,trend,random,FALSE_total_adjusted,year,month
Bangladesh,2016-01,36825841.9751263,209478.2979696,0,0,37035320.2730959,0,0.290033905363885,,,127693071.700118,2016,Jan
Bangladesh,2016-02,58656760.7389219,1787241.7012208,0,0,60444002.4401427,0,0.284254777717725,,,212640233.967029,2016,Feb
Bangladesh,2016-03,502712457.334502,5280513.7793512,0,0,507992971.113854,0,1.88065673575778,,,270114668.697989,2016,Mar
Bangladesh,2016-04,23326413.2016385,2609996.9812236,0,0,25936410.1828621,0,0.322258833695843,,,80483162.8210435,2016,Apr
Bangladesh,2016-05,68938398.0503057,3356346.0397224,0,0,72294744.0900281,0,0.394990803288685,,,183028930.010784,2016,May
Bangladesh,2016-06,750537690.180465,63555214.0758944,0,0,814092904.256359,0,2.55944706404464,,,318073741.665852,2016,Jun
Bangladesh,2016-07,26707720.3496267,2702751.785848,0,0,29410472.1354747,0,0.321375945673556,253773312.351216,0.36061408082608,91514229.7717234,2016,Jul
Bangladesh,2016-08,76167448.2826024,2358116.3267288,0,0,78525564.6093312,0,0.36617551698009,256439922.506381,0.836249993423073,214447883.509374,2016,Aug
Bangladesh,2016-09,380036779.486684,17275781.381298,0,0,397312560.867982,0,1.34237935837328,258036034.90776,1.14703500059791,295976363.454704,2016,Sep
Bangladesh,2016-10,88924347.2741238,62729.45328,0,0,88987076.7274038,0,0.422531226802527,260823293.619095,0.807461370931656,210604734.236584,2016,Oct
Bangladesh,2016-11,168172394.939312,1153574.5560324,0,0,169325969.495344,0,0.67211450452074,263873430.100618,0.954738949984202,251930241.582994,2016,Nov
Bangladesh,2016-12,638694978.253014,97021143.8151352,0,0,735716122.068149,0,3.14378132778125,265941012.152696,0.879979643057661,234022676.948523,2016,Dec
Bangladesh,2017-01,89737997.5821586,3708582.600065,0,0,93446580.1822236,0,0.290033905363885,269680657.134491,1.19471645158104,322191917.751764,2017,Jan
Bangladesh,2017-02,65235716.3150022,2795669.939965,0,0,68031386.2549672,0,0.284254777717725,273194066.34658,0.876052806230846,239332428.468537,2017,Feb
Bangladesh,2017-03,518719275.216276,19993009.7158673,0,0,538712284.932143,0,1.88065673575778,273265871.796349,1.04824294858666,286449023.199908,2017,Mar
Bangladesh,2017-04,57381315.9748886,4729989.46171,0,0,62111305.4365986,0,0.322258833695843,274885531.957466,0.70115485246418,192737324.604175,2017,Apr
Bangladesh,2017-05,103003013.094785,6320111.29806024,0,0,109323124.392845,0,0.394990803288685,281292301.720064,0.983936801354393,276773847.600054,2017,May
Bangladesh,2017-06,771040409.192779,55646084.0106479,0,0,826686493.203427,0,2.55944706404464,300948233.306089,1.07325493015006,322994175.115711,2017,Jun
Bangladesh,2017-07,99332671.5619947,7235691.1894957,0,0,106568362.75149,0,0.321375945673556,318305753.247803,1.04176661962263,331600308.567398,2017,Jul
Bangladesh,2017-08,70692413.1624316,14997081.9209988,0,0,85689495.0834304,0,0.36617551698009,321635601.641088,0.727568965451992,234012081.938536,2017,Aug
Bangladesh,2017-09,292620114.907692,99251846.280651,0,0,391871961.188343,0,1.34237935837328,325697194.745136,0.896303117548405,291923411.026836,2017,Sep
Bangladesh,2017-10,98080075.7287812,35219444.5450804,0,0,133299520.273862,0,0.422531226802527,331010611.058729,0.953076716292383,315478506.245789,2017,Oct
Bangladesh,2017-11,223240100.5957,55535899.6555262,0,0,278776000.251226,0,0.67211450452074,333937337.154997,1.24207303998536,414774563.524724,2017,Nov
Bangladesh,2017-12,700768375.589509,397240073.787357,0,0,1098008449.37687,0,3.14378132778125,337961397.501252,1.03344234971523,349263620.746738,2017,Dec
Bangladesh,2018-01,107136021.631713,40598709.8429387,0,0,147734731.474652,0,0.290033905363885,343867456.23708,1.48129910583692,509370555.450404,2018,Jan
Bangladesh,2018-02,60835238.8144732,32824357.586911,0,0,93659596.4013842,0,0.284254777717725,348339690.872889,0.945891988057888,329491722.719227,2018,Feb
Bangladesh,2018-03,556745503.326845,53816805.9560392,0,0,610562309.282884,0,1.88065673575778,359686120.774897,0.902603010056878,324653775.287104,2018,Mar
Bangladesh,2018-04,89682474.8288527,28100797.7832268,0,0,117783272.61208,0,0.322258833695843,370660169.106592,0.98605892087875,365492766.361982,2018,Apr
Bangladesh,2018-05,97852173.9206932,26040409.607092,0,0,123892583.527785,0,0.394990803288685,372948366.478238,0.841026375936227,313659413.070528,2018,May
Bangladesh,2018-06,725530280.388341,183164201.990286,0,0,908694482.378628,0,2.55944706404464,391130236.724767,0.907716747951401,355035466.505268,2018,Jun
Bangladesh,2018-07,132910145.60005,33395637.6361038,0,0,166305783.236154,0,0.321375945673556,406507215.907002,1.27299214894733,517480494.340052,2018,Jul
Bangladesh,2018-08,89544561.6340637,43741144.2241291,0,0,133285705.858193,0,0.36617551698009,406979936.521707,0.894378340463172,363994040.228091,2018,Aug
Bangladesh,2018-09,415203998.19089,201386069.870874,0,0,616590068.061765,0,1.34237935837328,422338947.021361,1.08757728066646,459326243.521027,2018,Sep
Bangladesh,2018-10,134741932.19474,37216641.1663861,0,0,171958573.361126,0,0.422531226802527,438394072.083804,0.928325648649345,406972461.331225,2018,Oct
Bangladesh,2018-11,240902002.889598,54131681.1938491,0,0,295033684.083447,0,0.67211450452074,445497601.346813,0.985332855806845,438963423.790154,2018,Nov
Bangladesh,2018-12,800925092.232793,717190559.228563,0,0,1518115651.46136,0,3.14378132778125,460678620.273949,1.04822489574399,482894798.708146,2018,Dec
Bangladesh,2019-01,73002992.318805,23672037.4449852,0,0,96675029.7637901,0,0.290033905363885,473030293.989407,0.704655083060547,333323201.101261,2019,Jan
Bangladesh,2019-02,103646186.722632,52418406.1425326,0,0,156064592.865165,0,0.284254777717725,478998937.225672,1.14620437265837,549030676.346775,2019,Feb
Bangladesh,2019-03,767797489.094565,148976075.716241,0,0,916773564.810806,0,1.88065673575778,479183807.444793,1.01730320830357,487475224.680706,2019,Mar
Bangladesh,2019-04,133751176.289048,63143842.2937351,0,0,196895018.582784,0,0.322258833695843,476982748.604503,1.28093539360417,610984084.826107,2019,Apr
Bangladesh,2019-05,157159647.965812,58105891.90348,0,0,215265539.869292,0,0.394990803288685,476727972.617055,1.14318598965648,544988739.173155,2019,May
Bangladesh,2019-06,958435370.638864,223230609.649542,0,0,1181665980.28841,0,2.55944706404464,467684888.520226,0.987177488845636,461687993.820448,2019,Jun
Bangladesh,2019-07,141505995.032087,48268459.4652783,0,0,189774454.497365,0,0.321375945673556,460555923.617393,1.28215937320009,590506094.348866,2019,Jul
Bangladesh,2019-08,158830342.360918,94234129.906412,0,0,253064472.26733,0,0.36617551698009,460938748.700726,1.4993349232579,691101563.409794,2019,Aug
Bangladesh,2019-09,300527958.885718,200720228.025828,0,0,501248186.911546,0,1.34237935837328,451724149.875971,0.826616823783362,373402781.996714,2019,Sep
Bangladesh,2019-10,147073584.867311,87401457.47706,0,0,234475042.344371,0,0.422531226802527,437410959.300531,1.26866848672275,554929499.81175,2019,Oct
Bangladesh,2019-11,146792302.798802,79610288.602644,0,0,226402591.401446,0,0.67211450452074,434429590.839533,0.775387376819723,336851220.853931,2019,Nov
Bangladesh,2019-12,941827894.921187,427884830.898269,0,0,1369712725.81946,0,3.14378132778125,437489691.041935,0.995885334079249,435689567.119524,2019,Dec
Bangladesh,2020-01,40309679.6221268,33673118.1155891,0,0,73982797.737716,0,0.290033905363885,442191472.758296,0.576861582117619,255083272.574271,2020,Jan
Bangladesh,2020-02,120189294.074713,67755332.8165116,0,0,187944626.891225,0,0.284254777717725,,,661183704.28187,2020,Feb
Bangladesh,2020-03,534834485.822828,128908673.167787,106599.39498,0,663743158.990615,106599.39498,1.88065673575778,,,352931583.085082,2020,Mar
Bangladesh,2020-04,67040202.0710148,39368648.5214078,27189195.34689,211974,106408850.592423,27401169.34689,0.322258833695843,,,330196846.342633,2020,Apr
Bangladesh,2020-05,162563450.004814,71635414.7908887,500030036.896145,2510309.52,234198864.795703,502540346.416145,0.394990803288685,,,592922323.369983,2020,May
Bangladesh,2020-06,1092192984.93216,143982075.287471,293444661.66927,47105749.642665,1236175060.21963,340550411.311935,2.55944706404464,,,482985203.165769,2020,Jun
Bangladesh,2020-07,122839490.701096,125268645.057703,9265395.18502,6928177.858,248108135.758798,16193573.04302,0.321375945673556,,,772018376.293847,2020,Jul
Cameroon,2016-01,1298733.216384,7624790,0,0,8923523.216384,0,0.637291391643514,,,14002265.4211146,2016,Jan
Cameroon,2016-02,16773316.3025897,2410422.84439,0,0,19183739.1469797,0,0.265332246299826,,,72300820.6296269,2016,Feb
Cameroon,2016-03,57432965.0253775,4936953.8688,0,0,62369918.8941775,0,0.832986971579975,,,74875023.2862308,2016,Mar
Cameroon,2016-04,3255028.83245429,6995199.87737,0,0,10250228.7098243,0,0.317589520875682,,,32275084.7747167,2016,Apr
Cameroon,2016-05,3289012.515124,2655840,0,0,5944852.515124,0,0.338952725531879,,,17538883.9425776,2016,May
Cameroon,2016-06,64180070.144748,1952952.83293,0,0,66133022.977678,0,0.804746699087078,,,82178681.8792804,2016,Jun
Cameroon,2016-07,6945020.42974,0,0,0,6945020.42974,0,0.323059073708396,66289728.2552058,0.324298802800182,21497679.5111126,2016,Jul
Cameroon,2016-08,2311842.560116,4351976,0,0,6663818.560116,0,0.193907456542802,65957186.6770351,0.521034560058568,34365973.7429698,2016,Aug
Cameroon,2016-09,55235398.6326296,6088376.6008,0,0,61323775.2334296,0,0.7685609041877,66701796.7210715,1.19622551652004,79790391.2354784,2016,Sep
Cameroon,2016-10,9941117.227078,1402376.629324,0,0,11343493.856402,0,0.259703518996022,68072406.4886456,0.641649561457604,43678629.7708032,2016,Oct
Cameroon,2016-11,8515984.239978,2501127.446334,0,0,11017111.686312,0,0.257648938933506,69297948.6521749,0.617048093755491,42760167.1169905,2016,Nov
Cameroon,2016-12,408650869.123491,118200547.835694,0,0,526851416.959185,0,7.00022055261362,70381978.2783603,1.06933789949748,75262116.8146593,2016,Dec
Cameroon,2017-01,2242956.41980434,3734200.550814,0,0,5977156.97061834,0,0.637291391643514,72434088.3527967,0.129483255682473,9379001.58231201,2017,Jan
Cameroon,2017-02,10253881.5887215,3895225.927927,0,0,14149107.5166485,0,0.265332246299826,74890490.2464746,0.712053030919873,53326000.5670774,2017,Feb
Cameroon,2017-03,66802362.0793542,18472829.5020276,0,0,85275191.5813818,0,0.832986971579975,75635224.9039738,1.35350664516595,102372779.516149,2017,Mar
Cameroon,2017-04,5161961.71174429,15077628.732654,0,0,20239590.4443983,0,0.317589520875682,75877340.891793,0.839892016895154,63728772.8782492,2017,Apr
Cameroon,2017-05,12776376.056977,12592126.6482783,0,0,25368502.7052554,0,0.338952725531879,76676681.8743518,0.976095687130704,74843778.4810477,2017,May
Cameroon,2017-06,59792237.3659951,12933846.45,0,0,72726083.8159951,0,0.804746699087078,88436701.3261751,1.02187662053645,90371397.4825832,2017,Jun
Cameroon,2017-07,39450350.0382285,10152251.339669,0,0,49602601.3778975,0,0.323059073708396,109403347.285633,1.40343369760731,153540344.211692,2017,Jul
Cameroon,2017-08,17372809.8762273,5587073.184,0,0,22959883.0602273,0,0.193907456542802,119293246.898253,0.992565790116852,118406395.863169,2017,Aug
Cameroon,2017-09,49228966.4162501,13672376.09705,0,0,62901342.5133001,0,0.7685609041877,119944843.432574,0.682338763662811,81843016.1755121,2017,Sep
Cameroon,2017-10,7539167.30098733,8037542.983205,0,0,15576710.2841923,0,0.259703518996022,121594450.821721,0.493269374585738,59978818.7099264,2017,Oct
Cameroon,2017-11,20887670.3959308,5080408.444,0,0,25968078.8399308,0,0.257648938933506,122536264.883232,0.822520677563775,100788611.617891,2017,Nov
Cameroon,2017-12,666741808.820202,127399107.829124,0,0,794140916.649326,0,7.00022055261362,124448213.58407,0.911585025908197,113445128.004263,2017,Dec
Cameroon,2018-01,236306896.389464,5580263.918,0,0,241887160.307464,0,0.637291391643514,125433814.202048,3.0259387666002,379555041.036503,2018,Jan
Cameroon,2018-02,9397074.30586612,6199620.576825,0,0,15596694.8826911,0,0.265332246299826,124438258.668862,0.472376862440782,58781754.1975913,2018,Feb
Cameroon,2018-03,83489955.3298303,15975965.70921,0,0,99465921.0390403,0,0.832986971579975,125406207.673358,0.952175636318572,119408735.589678,2018,Mar
Cameroon,2018-04,24384984.2646596,21254454.061595,0,0,45639438.3262546,0,0.317589520875682,127230005.188034,1.1294957003708,143705743.818039,2018,Apr
Cameroon,2018-05,9384049.28367853,13188143.016005,0,0,22572192.2996835,0,0.338952725531879,128969833.449226,0.516352723534732,66593924.7553286,2018,May
Cameroon,2018-06,108689748.595278,12719414.4463887,0,0,121409163.041667,0,0.804746699087078,130390838.914967,1.15703149739528,150866307.596411,2018,Jun
Cameroon,2018-07,16111599.4754492,8462337.50825,0,0,24573936.9836992,0,0.323059073708396,121889952.735996,0.624057903984621,76066388.42121,2018,Jul
Cameroon,2018-08,13245658.3772056,10849556.28075,0,0,24095214.6579556,0,0.193907456542802,114302590.851279,1.08712683305288,124261413.60189,2018,Aug
Cameroon,2018-09,73588320.8733032,11408466.1501744,0,0,84996787.0234775,0,0.7685609041877,114034407.778607,0.969813687174789,110592129.472565,2018,Sep
Cameroon,2018-10,23335252.5628244,13917153.563415,0,0,37252406.1262394,0,0.259703518996022,111794325.817306,1.28308885700066,143442053.732087,2018,Oct
Cameroon,2018-11,42027680.5245512,4020580.74194465,0,0,46048261.2664958,0,0.257648938933506,112673246.492612,1.58622236928955,178724824.007057,2018,Nov
Cameroon,2018-12,704735184.357258,103429681.043281,0,0,808164865.400539,0,7.00022055261362,111803018.420332,1.03260616542176,115448486.133598,2018,Dec
Cameroon,2019-01,18510955.7877666,5330987.473182,0,0,23841943.2609486,0,0.637291391643514,110988023.520845,0.33707572739967,37411368.7609407,2019,Jan
Cameroon,2019-02,47729348.7591278,3815877.936872,0,0,51545226.6959998,0,0.265332246299826,112660751.372744,1.72435141143006,194266725.642361,2019,Feb
Cameroon,2019-03,40542617.606279,16538377.8753373,0,0,57080995.4816163,0,0.832986971579975,113622595.192256,0.603099023306192,68525676.1859642,2019,Mar
Cameroon,2019-04,14652001.5281411,19610395.284301,0,0,34262396.8124421,0,0.317589520875682,114842856.235456,0.939393587524753,107882642.720614,2019,Apr
