Year	Sector	Chapter	Departement	Type	Value
2013	Administration Sector 	Ministry of Justice	Judiciary Service Committee	Wages & salaries	1062389
2013	Administration Sector 	Ministry of Justice	Judiciary Service Committee	General expenses	37500
2013	Administration Sector 	Ministry of Justice	Consititutional Court	Wages & salaries	134604
2013	Administration Sector 	Ministry of Justice	Consititutional Court	General expenses	37500
2013	Administration Sector 	Ministry of Justice	Ministry of Justice	Wages & salaries	84012
2013	Administration Sector 	Ministry of Justice	Ministry of Justice	General expenses	57500
2013	Administration Sector 	Supreme Court  	Supreme Court  	Wages & salaries	328170
2013	Administration Sector 	Supreme Court  	Supreme Court  	General expenses	61500
2013	Administration Sector 	Attorney General	Attorney General	Wages & salaries	294888
2013	Administration Sector 	Attorney General	Attorney General	General expenses	53500
2013	Administration Sector 	Solicitor General	Solicitor General	Wages & salaries	123473
2013	Administration Sector 	Solicitor General	Solicitor General	General expenses	78000
2013	Administration Sector 	Auditor General	Auditor General	Wages & salaries	300890
2013	Administration Sector 	Auditor General	Auditor General	General expenses	168000
2013	Administration Sector 	Auditor General	Auditor General	Other expenses	235256
2013	Administration Sector 	Ministry of Humanitarian Affairs and Disaster Management	Ministry of Humanitarian Affairs and Disaster Management	Wages & salaries	264417
2013	Administration Sector 	Ministry of Humanitarian Affairs and Disaster Management	Ministry of Humanitarian Affairs and Disaster Management	General expenses	113000
2013	Administration Sector 	Ministry of Humanitarian Affairs and Disaster Management	Ministry of Humanitarian Affairs and Disaster Management	Other expenses	258472
2013	Administration Sector 	Ministry of Constitution	Ministry of Constitution	Wages & salaries	281784
2013	Administration Sector 	Ministry of Constitution	Ministry of Constitution	General expenses	109740
2013	Security Sector	Ministry of Defence	Ministry of Defence	Wages & salaries	292525
2013	Security Sector	Ministry of Defence	Ministry of Defence	General expenses	179667
2013	Security Sector	Ministry of Defence	Ministry of Defence	Other expenses	2295595
2013	Security Sector	Ministry of Defence	Armed Forces	Wages & salaries	13751700
2013	Security Sector	Ministry of Defence	Armed Forces	General expenses	2832635
2013	Security Sector	Ministry of Defence	Armed Forces	Other expenses	11606790
2013	Security Sector	Ministry of Defence	Military Court	Wages & salaries	115200
2013	Security Sector	Ministry of Defence	Military Court	General expenses	221500
2013	Security Sector	Ministry of Defence	Military Court	Other expenses	68000
2013	Security Sector	Ministry of National Security	Police Force	Wages & salaries	3000000
2013	Security Sector	Ministry of National Security	Police Force	General expenses	1476200
2013	Security Sector	Ministry of National Security	Police Force	Specialized materials and services	55000
2013	Security Sector	Ministry of National Security	Police Force	Other expenses	3755583
2013	Security Sector	Ministry of National Security	National Security Force	Wages & salaries	1170000
2013	Security Sector	Ministry of National Security	National Security Force	Specialized materials and services	712800
2013	Security Sector	Ministry of National Security	National Security Force	Other expenses	3212200
2013	Security Sector	Ministry of National Security	Immigration Department	Wages & salaries	525000
2013	Security Sector	Ministry of National Security	Immigration Department	General expenses	265205
2013	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	Wages & salaries	1538166
2013	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	General expenses	283046
2013	Economic Sector	Ministry of Information 	Ministry of Information 	Wages & salaries	1790770
2013	Economic Sector	Ministry of Information 	Ministry of Information 	General expenses	946500
2013	Economic Sector	Ministry of Information 	Ministry of Information 	Other expenses	84000
2013	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	Wages & salaries	873169
2013	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	General expenses	156457
2013	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	Wages & salaries	527086
2013	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	General expenses	85500
2013	Social Sector	Ministry of Health 	Ministry of Health 	Wages & salaries	1754136
2013	Social Sector	Ministry of Health 	Ministry of Health 	General expenses	504000
2013	Social Sector	Ministry of Health 	Ministry of Health 	Fixed assets acquisition	0
2013	Administration Sector 	Other	Other	#N/A	0
2014	Administration Sector 	Office of the Presidency	Office of the Presidency	Wages & salaries	2241981
2014	Administration Sector 	Office of the Presidency	Office of the Presidency	General expenses	1562400
2014	Administration Sector 	Office of the Presidency	Office of the Presidency	Other expenses	419800
2014	Administration Sector 	Office of the Parliament	Office of the Parliament	Wages & salaries	1564878
2014	Administration Sector 	Office of the Parliament	Office of the Parliament	General expenses	1303845
2014	Administration Sector 	Office of the Parliament	Office of the Parliament	Other expenses	440659
2014	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Wages & salaries	9743000
2014	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Specialized materials and services	200000
2014	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Other expenses	394000
2014	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Wages & salaries	1569424
2014	Administration Sector 	Prime Minister Office	Office of the Prime Minister	General expenses	1163000
2014	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Other expenses	914333
2014	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Wages & salaries	968866
2014	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	General expenses	682635
2014	Administration Sector 	Ministry of Foreign Affairs	Embassies	Wages & salaries	1107975
2014	Administration Sector 	Ministry of Foreign Affairs	Embassies	General expenses	1063000
2014	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Wages & salaries	3482554
2014	Administration Sector 	Finance and Other Department 	Ministry of Finance 	General expenses	1457168
2014	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Education and training expenses	576972
2014	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Other expenses	613395
2014	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Bank account operated by Financial Management Agent (FMA)	919978
2014	Administration Sector 	Finance and Other Department 	Accountant General	Wages & salaries	887203
2014	Administration Sector 	Finance and Other Department 	Accountant General	General expenses	31446
2014	Administration Sector 	Finance and Other Department 	Accountant General	Consulting and professional fees	90710
2014	Administration Sector 	Finance and Other Department 	Accountant General	Fixed assets acquisition	29800
2014	Administration Sector 	Finance and Other Department 	Other Activities of the State	General expenses	53030
2014	Administration Sector 	Finance and Other Department 	Other Activities of the State	Education and training expenses	569360
2014	Administration Sector 	Finance and Other Department 	Other Activities of the State	Consulting and professional fees	588526
2014	Administration Sector 	Finance and Other Department 	Other Activities of the State	Finance costs	6189
2014	Administration Sector 	Finance and Other Department 	Other Activities of the State	Fixed assets acquisition	49265
2014	Administration Sector 	Finance and Other Department 	Other Activities of the State	Bank account operated by Financial Management Agent (FMA)	233687
2014	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Finance costs	2359957
2014	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	To sub-national government	10122244
2014	Administration Sector 	Ministry of Planning	Ministry of Planning	Wages & salaries	513348
2014	Administration Sector 	Ministry of Planning	Ministry of Planning	General expenses	182739
2014	Administration Sector 	Ministry of Planning	Ministry of Planning	Specialized materials and services	20000
2014	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Wages & salaries	1157271
2014	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	General expenses	133244
2014	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Specialized materials and services	21663
2014	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Other expenses	2398919
2014	Administration Sector 	Ministry of Interior	Somali Refugee and IDPs Commission	Wages & salaries	41500
2014	Administration Sector 	Ministry of Interior	Somali Refugee and IDPs Commission	General expenses	0
2014	Administration Sector 	Ministry of Interior	Somali Refugee and IDPs Commission	Specialized materials and services	0
2014	Administration Sector 	Ministry of Interior	Somali Disaster Management Agency	Wages & salaries	30000
2014	Administration Sector 	Ministry of Interior	Somali Disaster Management Agency	General expenses	0
2014	Administration Sector 	Ministry of Interior	Somali Disaster Management Agency	Specialized materials and services	0
2014	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Wages & salaries	0
2014	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	General expenses	0
2014	Administration Sector 	Ministry of Interior	Somali Urban Investment Planning Project	Specialized materials and services	0
2014	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	Wages & salaries	282146
2014	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	General expenses	84079
2014	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	Specialized materials and services	3333
2014	Administration Sector 	Ministry of Religious Affairs	Ministry of Religious Affairs	Other expenses	180000
2014	Administration Sector 	Ministry of Justice	Ministry of Justice	Wages & salaries	406487
2014	Administration Sector 	Ministry of Justice	Ministry of Justice	General expenses	127444
2014	Administration Sector 	Ministry of Justice	Ministry of Justice	Specialized materials and services	6667
2014	Administration Sector 	Ministry of Justice	Ministry of Justice	Fixed assets acquisition	0
2014	Administration Sector 	Ministry of Justice	Custodian Corps	Wages & salaries	1484000
2014	Administration Sector 	Ministry of Justice	Custodian Corps	General expenses	85500
2014	Administration Sector 	Ministry of Justice	Custodian Corps	Other expenses	2195468
2014	Administration Sector 	Ministry of Justice	Banadir Court	Wages & salaries	337144
2014	Administration Sector 	Ministry of Justice	Banadir Court	General expenses	47800
2014	Administration Sector 	Ministry of Justice	Appeal Court	Wages & salaries	353973
2014	Administration Sector 	Ministry of Justice	Appeal Court	General expenses	32700
2014	Administration Sector 	Ministry of Justice	Judiciary Service Committee	Wages & salaries	1087253
2014	Administration Sector 	Ministry of Justice	Judiciary Service Committee	General expenses	31950
2014	Administration Sector 	Ministry of Justice	Consititutional Court	Wages & salaries	130035
2014	Administration Sector 	Ministry of Justice	Consititutional Court	General expenses	29728
2014	Administration Sector 	Ministry of Justice	Human Rights Commision	Wages & salaries	0
2014	Administration Sector 	Ministry of Justice	Human Rights Commision	General expenses	0
2014	Administration Sector 	Ministry of Justice	Judiciary Service Committee	Wages & salaries	86052
2014	Administration Sector 	Ministry of Justice	Judiciary Service Committee	General expenses	41796
2014	Administration Sector 	Ministry of Justice	Consititutional Court	Wages & salaries	0
2014	Administration Sector 	Ministry of Justice	Consititutional Court	General expenses	0
2014	Administration Sector 	Supreme Court  	Supreme Court  	Wages & salaries	314460
2014	Administration Sector 	Supreme Court  	Supreme Court  	General expenses	56850
2014	Administration Sector 	Attorney General	Attorney General	Wages & salaries	314182
2014	Administration Sector 	Attorney General	Attorney General	General expenses	92298
2014	Administration Sector 	Solicitor General	Solicitor General	Wages & salaries	204280
2014	Administration Sector 	Solicitor General	Solicitor General	General expenses	109728
2014	Administration Sector 	Auditor General	Auditor General	Wages & salaries	508919
2014	Administration Sector 	Auditor General	Auditor General	General expenses	187876
2014	Administration Sector 	Auditor General	Auditor General	Specialized materials and services	83499
2014	Administration Sector 	Ministry of Humanitarian Affairs and Disaster Management	Ministry of Humanitarian Affairs and Disaster Management	Wages & salaries	424467
2014	Administration Sector 	Ministry of Humanitarian Affairs and Disaster Management	Ministry of Humanitarian Affairs and Disaster Management	General expenses	167998
2014	Administration Sector 	Ministry of Humanitarian Affairs and Disaster Management	Ministry of Humanitarian Affairs and Disaster Management	Specialized materials and services	122659
2014	Administration Sector 	Ministry of Constitution	Ministry of Constitution	Wages & salaries	309261
2014	Administration Sector 	Ministry of Constitution	Ministry of Constitution	General expenses	90794
2014	Security Sector	Ministry of Defence	Ministry of Defence	Wages & salaries	547724
2014	Security Sector	Ministry of Defence	Ministry of Defence	General expenses	136199
2014	Security Sector	Ministry of Defence	Ministry of Defence	Specialized materials and services	19998
2014	Security Sector	Ministry of Defence	Armed Forces	Wages & salaries	23474300
2014	Security Sector	Ministry of Defence	Armed Forces	General expenses	1240100
2014	Security Sector	Ministry of Defence	Armed Forces	Specialized materials and services	1917000
2014	Security Sector	Ministry of Defence	Armed Forces	Other expenses	16755424
2014	Security Sector	Ministry of Defence	Military Court	Wages & salaries	237501
2014	Security Sector	Ministry of Defence	Military Court	General expenses	186896
2014	Security Sector	Ministry of Defence	Military Court	Other expenses	148000
2014	Security Sector	Ministry of National Security	Ministry of National Security	Wages & salaries	609074
2014	Security Sector	Ministry of National Security	Ministry of National Security	General expenses	52533
2014	Security Sector	Ministry of National Security	Ministry of National Security	Specialized materials and services	0
2014	Security Sector	Ministry of National Security	Ministry of National Security	Other expenses	743833
2014	Security Sector	Ministry of National Security	Police Force	Wages & salaries	5700000
2014	Security Sector	Ministry of National Security	Police Force	General expenses	680000
2014	Security Sector	Ministry of National Security	Police Force	Specialized materials and services	369600
2014	Security Sector	Ministry of National Security	Police Force	Other expenses	4386800
2014	Security Sector	Ministry of National Security	National Security Force	Wages & salaries	3666663
2014	Security Sector	Ministry of National Security	National Security Force	General expenses	108256
2014	Security Sector	Ministry of National Security	National Security Force	Specialized materials and services	1579167
2014	Security Sector	Ministry of National Security	National Security Force	Other expenses	3214660
2014	Security Sector	Ministry of National Security	Immigration Department	Wages & salaries	1092000
2014	Security Sector	Ministry of National Security	Immigration Department	General expenses	624000
2014	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	Wages & salaries	509033
2014	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	General expenses	74953
2014	Economic Sector	Ministry of Water and Energy	Ministry of Water and Energy	Specialized materials and services	39872
2014	Economic Sector	Ministry of Mineral	Ministry of Mineral	Wages & salaries	497988
2014	Economic Sector	Ministry of Mineral	Ministry of Mineral	General expenses	44225
2014	Economic Sector	Ministry of Mineral	Ministry of Mineral	Specialized materials and services	3125
2014	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	Wages & salaries	512126
2014	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	General expenses	64381
2014	Economic Sector	Ministry of Agriculture	Ministry of Agriculture	Specialized materials and services	20000
2014	Economic Sector	Ministry of Livestock and Forestry 	Ministry of Livestock and Forestry 	Wages & salaries	451253
2014	Economic Sector	Ministry of Livestock and Forestry 	Ministry of Livestock and Forestry 	General expenses	71075
2014	Economic Sector	Ministry of Livestock and Forestry 	Ministry of Livestock and Forestry 	Specialized materials and services	25000
2014	Economic Sector	Ministry of Fisheries	Ministry of Fishery and Marine  Resource	Wages & salaries	729808
2014	Economic Sector	Ministry of Fisheries	Ministry of Fishery and Marine  Resource	General expenses	130624
2014	Economic Sector	Ministry of Fisheries	Ministry of Fishery and Marine  Resource	Specialized materials and services	20000
2014	Economic Sector	Ministry of Fisheries	Somali Marine Research	Wages & salaries	69736
2014	Economic Sector	Ministry of Fisheries	Somali Marine Research	General expenses	21366
2014	Economic Sector	Ministry of Fisheries	Somali Marine Research	Specialized materials and services	2500
2014	Economic Sector	Ministry of Information 	Ministry of Information 	Wages & salaries	1765482
2014	Economic Sector	Ministry of Information 	Ministry of Information 	General expenses	846500
2014	Economic Sector	Ministry of Information 	Ministry of Information 	Specialized materials and services	4500
2014	Economic Sector	Ministry of Information 	Ministry of Information 	Other expenses	90000
2014	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	Wages & salaries	671168
2014	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	General expenses	62920
2014	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	Specialized materials and services	3000
2014	Economic Sector	Post and Telecomuniction 	Ministry of Post and Telecomuniction 	Other expenses	6000
2014	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	Wages & salaries	391601
2014	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	General expenses	115606
2014	Economic Sector	Ministry of Public Work & Reconstruction	Ministry of Public Work & Reconstruction	Specialized materials and services	20000
2014	Economic Sector	Ministry of Transport and Aviation	Ministry of Tranport and Aviation 	Wages & salaries	598860
2014	Economic Sector	Ministry of Transport and Aviation	Ministry of Tranport and Aviation 	General expenses	88860
2014	Economic Sector	Ministry of Transport and Aviation	Ministry of Tranport and Aviation 	Specialized materials and services	24900
2014	Economic Sector	Ministry of Transport and Aviation	Civil Aviation and Meteo-Authority	Wages & salaries	506944
2014	Economic Sector	Ministry of Transport and Aviation	Civil Aviation and Meteo-Authority	General expenses	69199
2014	Economic Sector	Ministry of Transport and Aviation	Civil Aviation and Meteo-Authority	Specialized materials and services	5500
2014	Economic Sector	Ministry of Transport and Ports	Ministry of Transport and Ports	Wages & salaries	747116
2014	Economic Sector	Ministry of Transport and Ports	Ministry of Transport and Ports	General expenses	94257
2014	Economic Sector	Ministry of Transport and Ports	Ministry of Transport and Ports	Specialized materials and services	15000
2014	Economic Sector	Ministry of Transport and Ports	Hamar Port 	Wages & salaries	519830
2014	Economic Sector	Ministry of Transport and Ports	Hamar Port 	General expenses	391210
2014	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	Wages & salaries	758320
2014	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	General expenses	115979
2014	Economic Sector	Ministry of Industry & Commerce	Ministry of Industry & Commerce	Specialized materials and services	20000
2014	Social Sector	Ministry of Health 	Ministry of Health 	Wages & salaries	620582
2014	Social Sector	Ministry of Health 	Ministry of Health 	General expenses	79362
2014	Social Sector	Ministry of Health 	Ministry of Health 	Specialized materials and services	25000
2014	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Wages & salaries	489791
2014	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Other employee costs	560000
2014	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	General expenses	50762
2014	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Specialized materials and services	3333
2014	Social Sector	Ministry of Education and Higher Education	Ministry of Education and Higher Education	Fixed assets acquisition	83000
2014	Social Sector	Ministry of Education and Higher Education	Somali National University	Wages & salaries	380280
2014	Social Sector	Ministry of Education and Higher Education	Somali National University	Other employee costs	105600
2014	Social Sector	Ministry of Education and Higher Education	Somali National University	General expenses	80777
2014	Social Sector	Ministry of Education and Higher Education	Somali National University	Specialized materials and services	75000
2014	Social Sector	Ministry of Education and Higher Education	Somali Academy of Sciences and Arts	Wages & salaries	248046
2014	Social Sector	Ministry of Education and Higher Education	Somali Academy of Sciences and Arts	General expenses	59160
2014	Social Sector	Ministry of Education and Higher Education	Somali Academy of Sciences and Arts	Education and training expenses	13167
2014	Social Sector	Ministry of Education and Higher Education	Somali Academy of Sciences and Arts	Specialized materials and services	76560
2014	Social Sector	Ministry of Education and Higher Education	Intergovernmental Academy of Somali Language	Wages & salaries	159602
2014	Social Sector	Ministry of Education and Higher Education	Intergovernmental Academy of Somali Language	General expenses	8933
2014	Social Sector	Ministry of Education and Higher Education	Intergovernmental Academy of Somali Language	Specialized materials and services	0
2014	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	Wages & salaries	629833
2014	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	General expenses	54662
2014	Social Sector	Ministry of Labor and Social Affairs	Ministry of Labor and Social Affairs	Specialized materials and services	25000
2014	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	Wages & salaries	402802
2014	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	General expenses	73695
2014	Social Sector	Ministry of Youth and Sport	Ministry of Youth and Sport	Specialized materials and services	22000
2014	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	Wages & salaries	474785
2014	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	General expenses	32362
2014	Social Sector	Ministry of Women and Human Rights Dev.	Ministry of Women and Human Rights Dev.	Specialized materials and services	3333
2014	Administration Sector 	Other	Other	Revolving loans	0
2014	Administration Sector 	Other	Other	Arrears outstandng	1415267
2014	Administration Sector 	Other	Other	#N/A	3776044
2015	Administration Sector 	Office of the Presidency	Office of the Presidency	Wages & salaries	1484050
2015	Administration Sector 	Office of the Presidency	Office of the Presidency	General expenses	1531400
2015	Administration Sector 	Office of the Presidency	Office of the Presidency	Other expenses	398200
2015	Administration Sector 	Office of the Parliament	Office of the Parliament	Wages & salaries	1167831
2015	Administration Sector 	Office of the Parliament	Office of the Parliament	General expenses	1039238
2015	Administration Sector 	Office of the Parliament	Office of the Parliament	Other expenses	390972
2015	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Wages & salaries	10110200
2015	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Specialized materials and services	120000
2015	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Other expenses	470200
2015	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Wages & salaries	1008594
2015	Administration Sector 	Prime Minister Office	Office of the Prime Minister	General expenses	1528400
2015	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Other expenses	887400
2015	Administration Sector 	Prime Minister Office	Environmental Directorate	Wages & salaries	49014
2015	Administration Sector 	Prime Minister Office	Environmental Directorate	General expenses	36000
2015	Administration Sector 	Prime Minister Office	Capacity Injection Project	General expenses	0
2015	Administration Sector 	Prime Minister Office	Capacity Injection Project	Education and training expenses	0
2015	Administration Sector 	Prime Minister Office	Capacity Injection Project	Consulting and professional fees	100595
2015	Administration Sector 	Prime Minister Office	Capacity Injection Project	Finance costs	7521
2015	Administration Sector 	Prime Minister Office	Capacity Injection Project	Fixed assets acquisition	0
2015	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Wages & salaries	703300
2015	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	General expenses	547180
2015	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Consulting and professional fees	349736
2015	Administration Sector 	Ministry of Foreign Affairs	Embassies	Wages & salaries	1766262
2015	Administration Sector 	Ministry of Foreign Affairs	Embassies	General expenses	1545996
2015	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Wages & salaries	3140626
2015	Administration Sector 	Finance and Other Department 	Ministry of Finance 	General expenses	765895
2015	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Other expenses	119840
2015	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Fixed assets acquisition	357322
2015	Administration Sector 	Finance and Other Department 	Accountant General	Wages & salaries	401532
2015	Administration Sector 	Finance and Other Department 	Accountant General	General expenses	143999
2015	Administration Sector 	Finance and Other Department 	Other Activities of the State	Arrears on Salaries and Allowances	2500000
2015	Administration Sector 	Finance and Other Department 	Other Activities of the State	Finance costs	2320684
2015	Administration Sector 	Finance and Other Department 	Other Activities of the State	Arrears	6971003
2015	Administration Sector 	Finance and Other Department 	Other Activities of the State	To sub-national government	13839503
2015	Administration Sector 	Finance and Other Department 	Other Activities of the State	Contingency - Operating & Capital Expenses	2596886
2015	Administration Sector 	Finance and Other Department 	Other Activities of the State	Revolving loans	1292300
2015	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	General expenses	7600
2015	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Consulting and professional fees	271763
2015	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Finance costs	31850
2015	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Other expenses	68754
2015	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Fixed assets acquisition	1592717
2015	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	General expenses	284223
2015	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Education and training expenses	1138761
2015	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Consulting and professional fees	815776
2015	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Finance costs	18125
2015	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Other expenses	0
2015	Administration Sector 	Finance and Other Department 	Public Finance Management (PFM)	Fixed assets acquisition	111885
2015	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Wages & salaries	21600
2015	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	General expenses	5737
2015	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Education and training expenses	0
2015	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Consulting and professional fees	260000
2015	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Finance costs	8036
2015	Administration Sector 	Finance and Other Department 	Economic and Financial Governance (EFGP)	Fixed assets acquisition	0
2015	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	General expenses	194725
2015	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Education and training expenses	56310
2015	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Consulting and professional fees	776844
2015	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Finance costs	254499
2015	Administration Sector 	Finance and Other Department 	Recurrent Costs and Reform Financing Project (RCRF)	Fixed assets acquisition	25750
2015	Administration Sector 	Ministry of Planning	Ministry of Planning	Wages & salaries	461173
2015	Administration Sector 	Ministry of Planning	Ministry of Planning	General expenses	240000
