Year	Sector	Chapter	Departement	Type	Value
2013	Administration Sector 	Office of the Presidency	Office of the Presidency	Wages & salaries	1637900
2013	Administration Sector 	Office of the Presidency	Office of the Presidency	General expenses	1710840
2013	Administration Sector 	Office of the Presidency	Office of the Presidency	Other expenses	240000
2013	Administration Sector 	Office of the Parliament	Office of the Parliament	Wages & salaries	828239
2013	Administration Sector 	Office of the Parliament	Office of the Parliament	General expenses	858421
2013	Administration Sector 	Office of the Parliament	Office of the Parliament	Other expenses	319997
2013	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Wages & salaries	12087300
2013	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Specialized materials and services	167970
2013	Administration Sector 	Office of the Parliament	Members of Parliament (Allowance)   	Other expenses	577783
2013	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Wages & salaries	927681
2013	Administration Sector 	Prime Minister Office	Office of the Prime Minister	General expenses	2012000
2013	Administration Sector 	Prime Minister Office	Office of the Prime Minister	Other expenses	192000
2013	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	Wages & salaries	692966
2013	Administration Sector 	Ministry of Foreign Affairs	Ministry of Foreign Affairs	General expenses	416910
2013	Administration Sector 	Ministry of Foreign Affairs	Embassies	Wages & salaries	0
2013	Administration Sector 	Ministry of Foreign Affairs	Embassies	General expenses	1244145
2013	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Wages & salaries	2633836
2013	Administration Sector 	Finance and Other Department 	Ministry of Finance 	General expenses	515176
2013	Administration Sector 	Finance and Other Department 	Ministry of Finance 	Other expenses	1307512
2013	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	Finance costs	5300172
2013	Administration Sector 	Finance and Other Department 	Special Financing Facility (SFF)	To sub-national government	7487367
2013	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Wages & salaries	883328
2013	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	General expenses	107850
2013	Administration Sector 	Ministry of Interior	Ministry of Interior and Federal Affairs	Other expenses	8975383
2013	Administration Sector 	Ministry of Justice	Ministry of Justice	Wages & salaries	575944
2013	Administration Sector 	Ministry of Justice	Ministry of Justice	General expenses	175550
2013	Administration Sector 	Ministry of Justice	Ministry of Justice	Other expenses	699640
2013	Administration Sector 	Ministry of Justice	Custodian Corps	Wages & salaries	1239140
2013	Administration Sector 	Ministry of Justice	Custodian Corps	General expenses	113500
2013	Administration Sector 	Ministry of Justice	Custodian Corps	Other expenses	1053863
2013	Administration Sector 	Ministry of Justice	Banadir Court	Wages & salaries	344501
2013	Administration Sector 	Ministry of Justice	Banadir Court	General expenses	59000
2013	Administration Sector 	Ministry of Justice	Appeal Court	Wages & salaries	327003
2013	Administration Sector 	Ministry of Justice	Appeal Court	General expenses	43500
