region,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020
Somaliland,$0.0m,$0.0m,$0.0m,$0.0m,$333.0m,$326.3m,$0.0m,$0.0m
Federal,$113.9m,$150.7m,$135.5m,$171.1m,$243.6m,$286.1m,$315.7m,$169.4m
Puntland,$0.0m,$0.0m,$53.6m,$70.1m,$67.2m,$72.7m,$0.0m,$0.0m
Jubbaland,$0.0m,$0.0m,$0.0m,$5.7m,$15.2m,$15.4m,$0.0m,$0.0m
South West,$0.0m,$0.0m,$0.0m,$0.0m,$2.5m,$5.8m,$0.0m,$0.0m
Galmudug,$0.0m,$0.0m,$0.0m,$5.4m,$6.0m,$5.8m,$6.8m,$0.0m
,,,,,,,,
,,,,,,,,
,,,,,,,,
